Signal,Frequency_1,Frequency_2,Frequency_3,Frequency_4,Frequency_5
"[   9.03092121  345.34538255  333.2976964  ...   -5.8693127  -164.78094945
 -178.02897853]",4644.014970173369,3009.8925172897093,2777.1455204780277,3569.7105158589225,3366.119805487005
"[   8.88968732  160.94948474  195.8322971  ... -101.78730293 -159.28421049
  -82.0832433 ]",1421.5947561160558,516.8305259931894,4296.163415685766,977.883601762424,1576.1399411067384
"[  4.68776264 113.37028027  71.67202927 ... -14.02099078 -55.82246059
  11.20026839]",4931.351375214392,4202.252933636965,1166.568371551316,3595.7430420897,1352.6856775675897
"[  4.01975114 173.22826739 169.29882821 ... 126.95687131 106.51732886
  23.14783118]",835.4908230979106,4421.667023361705,2101.5033753322055,2722.6304739773404,3643.0298199924478
"[  3.36348515 102.39216508 140.52260019 ...  27.66464362  -4.20317411
 -10.88003469]",296.8539809083135,1761.3466255181727,1063.5638269609813,488.46077810038304,3749.022913640462
"[ 2.27276942e-01  2.53626998e+02  1.66992899e+02 ...  4.75037605e+01
 -8.29423167e+01  3.75351892e+01]",4526.072356109332,4966.227621776032,2621.2411655855526,846.1089323862866,1352.342920765683
"[ -1.02197878 243.68850587 233.87568537 ...   7.92669436 -48.27753159
  67.75629043]",4451.261751333149,1200.3378052736396,2996.9519491026513,2275.4096416727107,4656.291905784924
"[   6.75284872  185.82250933  153.73282396 ... -113.92392602  -19.87295297
   25.98720571]",4872.578124795925,885.0088240587817,4639.0727529647065,1415.0833831176042,2585.4990139087195
"[   2.79729352  257.85022921  387.21613594 ...  147.27715559  -39.17683472
 -181.74619203]",1776.9836934838481,2205.616312845153,2317.6716690058597,1901.7009610776793,3170.011783084581
"[  -5.78043258  191.54231899  212.71436294 ...  103.63631917  -22.75164092
 -174.25752301]",2439.5309024246526,188.73909319487362,220.78036706810812,3518.8759259814483,3781.920050538564
"[ -1.13390285 254.55855656 143.21191538 ... 135.86896659 -31.45893121
 -69.96290289]",1984.3156201781896,3071.4272973095603,4988.070140361654,4039.9012897276416,4470.167112118284
"[ -1.36481875 133.34495572 218.84120189 ... -24.28491699 -68.23912056
 -53.5138041 ]",305.25847001490274,1703.7988943785276,291.20081657168976,2366.050778204276,2320.909634193729
"[ -1.7714685  215.68829    237.85609595 ...  18.17911683  39.88471224
  22.30255878]",2145.528497668642,3573.9042055755003,2683.4895777828833,143.72774706248975,3361.3685921253445
"[  1.76919727 205.19332302  99.82680771 ...  69.93602675 219.97690501
  94.5615328 ]",4853.82646450646,320.16367081831646,4886.595695309029,374.46684494765475,3211.5466152309173
"[ -4.24029332 131.16019795 183.1803616  ...  50.77582785 124.94300208
 193.22775483]",1759.342113717107,1047.316824751023,2757.386033246113,585.0859397026346,3492.1458059698384
"[  2.3224936  144.95088515 175.63271404 ... -59.08439587 -87.05012482
 -87.75782203]",492.64674892000585,4242.460267257323,2639.83915554856,2959.264713072829,1511.703184664192
"[   1.09054609  205.67448701  196.49751885 ... -109.34784596  -50.45944901
   77.6214028 ]",1366.9192069420963,2754.7482707679055,1541.1767584337647,3156.3407782537533,4551.331874735586
"[   2.54873242  127.26856426  168.70984313 ... -195.83098644 -119.39690504
  -17.13087803]",2615.998838588363,3366.2813669087795,232.8757452072353,2497.152997157178,1156.1176333269545
"[   8.57911892  282.40820678  199.68665619 ... -101.18572254 -137.25215444
   39.85643748]",1718.2764783721927,4404.8728128306675,3969.3018814830534,4635.254701790307,3263.1582167778824
"[ -2.46166339 190.55058387 199.95583634 ...  52.9453378  -10.04658985
 -88.70758035]",1617.1667875064895,4234.932139872079,3600.7755262670826,2620.474129368967,1241.838882785908
"[  -0.65851495  135.5789539   222.65729169 ... -125.99248449  -84.95710325
  -56.7628347 ]",1295.884727456181,1074.866346288826,1542.1678009644486,2676.580113162681,171.42334402527476
"[ -8.02212941 256.48459289 267.8298981  ... 121.2977602  198.24411489
 186.16087504]",1918.4707165250657,4787.399928313008,2926.5923217059417,2098.1395503511408,3106.562846694602
"[  -1.32499423  322.97577008  349.60577069 ... -114.31629393  -22.99067406
  140.77907826]",3219.025177842837,2449.481402120259,2904.1089321684913,3000.45751157571,3820.2239305682906
"[  2.77328314 264.86648644 206.47509649 ...  10.49312925 174.37242836
  66.26215988]",3320.8093788297574,3083.4823892906907,1120.794912689044,4845.679919486898,3361.495253353968
"[   7.75080002  247.17369224  227.76806929 ... -113.04517785  -13.14621087
  100.44020374]",4283.394958612978,1419.0760935945602,3011.5584761801274,4998.190306475976,1002.9520962417698
"[  -4.70044553  124.11686216  199.0497917  ... -144.33983265  -51.46572806
   23.16310145]",984.9356849984298,3143.4596487757226,2206.1974424149857,591.3337534585255,283.88429698348153
"[   8.00166416  263.86586045  284.66127402 ... -150.14108352 -168.05656643
  -23.19620105]",4226.335816793235,3277.9400431767135,1348.0532574988429,2922.9865102038134,2024.3266250407182
